translation.general-actions.save,Сохранить
translation.settings.datapacks.title.workshop,Датапаки воркшопов
translation.settings.datapacks.title.your,Ваши датапаки
translation.settings.datapacks.title.treatise,Датапаки из трактатов
translation.settings.datapacks.title.lexicon,Датапаки из лексикона
translation.settings.datapacks.no,Нет
translation.settings.datapacks.avaliable,Доступно
translation.settings.datapacks.upload,Загрузить датапак
translation.settings.datapacks.seeMore,Показать больше...
translation.settings.datapacks.seeLess,Показать меньше...
translation.settings.datapacks.upload-form.title,Загрузите свой датапак
translation.settings.datapacks.upload-form.no-file,Файл не выбран
translation.settings.datapacks.upload-form.name,Название датапака
translation.settings.datapacks.upload-form.name-placeholder,Введите название датапака.
translation.settings.datapacks.upload-form.author,Автор
translation.settings.datapacks.upload-form.author-placeholder,Укажите автора...
translation.settings.datapacks.upload-form.description,Описание датапака
translation.settings.datapacks.upload-form.description-placeholder,Введите описание датапака.
translation.settings.datapacks.upload-form.tags,Теги
translation.settings.datapacks.upload-form.make-public,Сделать датапак общедоступным
translation.settings.datapacks.upload-form.button.add-ref,Добавить ссылку
translation.settings.datapacks.upload-form.button.more,Больше опций
translation.settings.datapacks.upload-form.button.finish,Завершить и загрузить
translation.settings.datapacks.upload-form.button.startover,Начать заново
translation.settings.datapacks.upload-form.reference,Ссылка
translation.settings.datapacks.upload-form.contact,Контакт
translation.settings.datapacks.upload-form.contact-placeholder,Введите свои контактные данные
translation.settings.datapacks.upload-form.contact-helper-text,(НЕОБЯЗАТЕЛЬНО) Укажите контакты, если хотите, чтобы с вами связались по поводу датапака
translation.settings.datapacks.upload-form.notes,Заметки
translation.settings.datapacks.upload-form.notes-placeholder,Введите заметки для датапака здесь
translation.settings.datapacks.upload-form.notes-helper-text,(НЕОБЯЗАТЕЛЬНО) Обычно заметки включают рекомендации по настройкам/как использовать датапак наиболее эффективно
translation.settings.datapacks.pdf-upload,Загрузка PDF
translation.settings.datapacks.comment-flagged,Этот комментарий был помечен.
translation.chart.no-chart-yet,Вы ещё не создали диаграмму
translation.chart.save,Сохранить
translation.dialogs.confirm-datapack-change.title,Подтвердите смену выбранного датапака
translation.dialogs.confirm-datapack-change.message,У вас есть несохранённые изменения! Хотите сохранить их?
translation.dialogs.confirm-datapack-change.yes,Сохранить
translation.dialogs.confirm-datapack-change.no,Отменить
translation.dialogs.default-age.title,Использовать возрастной диапазон по умолчанию?
translation.dialogs.confirm-changes.message,Вы уверены, что хотите отменить изменения?
translation.help.qsg.title,Краткое руководство по началу
translation.help.qsg.content,Добро пожаловать в Time Scale Creator Online! В этом кратком руководстве вы быстро узнаете о функциях каждой вкладки панели навигации. Нажмите кнопку «Начать QSG», чтобы приступить.
translation.help.qsg.button,Начать QSG
translation.help.tour.title,Обзор
translation.help.tour.content.datapacks,В обзоре по датапакам вы подробно изучите страницу Datapacks. Нажмите кнопку, чтобы начать обзор!
translation.help.tour.content.settings,В обзоре по настройкам вы подробно изучите страницу Settings. Нажмите кнопку, чтобы начать обзор!
translation.help.tour.button.datapacks,Начать обзор датапаков
translation.help.tour.button.settings,Начать обзор настроек
translation.help.license,Лицензия на программное обеспечение
translation.help.file-format-info.title,Информация о формате файлов
translation.help.file-format-info.link,Просмотреть информацию о формате файлов
translation.report-bug.title,Сообщить об ошибке
translation.report-bug.subtitle,Спасибо, что помогаете улучшать наш продукт! Пожалуйста, укажите детали ниже, чтобы мы могли лучше понять проблему и исправить её как можно быстрее.
translation.report-bug.name,Имя/ID
translation.report-bug.name-placeholder,Название ошибки
translation.report-bug.email,Эл. почта
translation.report-bug.email-placeholder,Ваша эл. почта
translation.report-bug.email-helper-text,Это поле необязательно. Но если вы укажете почту, мы сможем связаться для уточнения или сообщить о решении проблемы.
translation.report-bug.helper-text,Это поле обязательно.
translation.report-bug.description,Пожалуйста, кратко опишите ошибку или проблему.
translation.report-bug.description-placeholder,Описание ошибки
translation.report-bug.attached,Прикреплено
translation.report-bug.send,Отправить
translation.report-bug.attach-files,Прикрепить файлы
translation.report-bug.thank-you,Спасибо за ваш отзыв! Мы ценим вашу помощь.
translation.report-bug.redirect,Вы будете перенаправлены на главную страницу через
translation.report-bug.not-redirect,Если перенаправление не произошло,
translation.report-bug.click-here,нажмите здесь
translation.report-bug.return-to-homepage,чтобы вернуться на главную страницу.
translation.report-bug.second,секунда
translation.report-bug.loading-header,Отправка отчёта...
translation.report-bug.loading-subheader,Пожалуйста, подождите, пока мы обрабатываем ваш отчёт.
translation.errors.REGISTER_WORKSHOP_FAILED,Не удалось зарегистрироваться на воркшоп. Попробуйте позже.
translation.errors.NO_FILES_TO_DOWNLOAD,Нет файлов для загрузки.
translation.errors.USER_DATAPACK_UPLOAD_FAILED,Не удалось загрузить пользовательский датапак. Попробуйте позже.
translation.errors.SERVER_RESPONSE_ERROR,Ошибка ответа сервера. Попробуйте позже.
translation.errors.INVALID_DATAPACK_INFO,Получена неверная информация о датапаке от сервера. Попробуйте позже.
translation.errors.INVALID_PRESET_INFO,Получена неверная информация о пресете от сервера. Попробуйте позже.
translation.errors.INVALID_PATTERN_INFO,Получена неверная информация о шаблоне от сервера. Попробуйте позже.
translation.errors.INVALID_TIME_SCALE,Получена неверная временная шкала от сервера. Попробуйте позже.
translation.errors.INVALID_DATAPACK_CONFIG,Датапаки были настроены неправильно. Попробуйте позже.
translation.errors.INVALID_SVG_READY_RESPONSE,Получен неверный ответ SVG Ready от сервера. Попробуйте позже.
translation.errors.INVALID_SETTINGS_RESPONSE,Получен неверный ответ настроек от сервера. Попробуйте позже.
translation.errors.INVALID_CHART_RESPONSE,Получен неверный ответ диаграммы от сервера. Попробуйте позже.
translation.errors.INVALID_PATH,Запрошенный путь неверный. Пожалуйста, убедитесь, что путь указан правильно.
translation.errors.INVALID_DATAPACK_UPLOAD,Некорректная загрузка датапака.
translation.errors.INVALID_DATAPACK_PHYLUM,Указан неверный таксон (phylum) в датапаке трактата.
translation.errors.REGULAR_USER_UPLOAD_DATAPACK_TOO_LARGE,Загруженный датапак превышает 3000 символов.
translation.errors.INVALID_USER_DATAPACKS,Получены неверные пользовательские датапаки с сервера. Попробуйте позже.
translation.errors.INVALID_PUBLIC_DATAPACKS,Получены неверные публичные датапаки с сервера. Попробуйте позже.
translation.errors.NO_DATAPACK_FILE_FOUND,Файл датапака не найден. Пожалуйста, загрузите файл датапака сначала.
translation.errors.DATAPACK_FILE_NAME_TOO_LONG,Имя файла датапака слишком длинное. Пожалуйста, сократите имя файла.
translation.errors.UNRECOGNIZED_DATAPACK_EXTENSION,Нераспознанное расширение датапака. Файл должен быть формата .dpk, .mdpk, .map или .txt. Пожалуйста, загрузите допустимый файл.
translation.errors.UNRECOGNIZED_DATAPACK_FILE,Нераспознанный файл датапака. Пожалуйста, загрузите допустимый файл.
translation.errors.UNFINISHED_DATAPACK_UPLOAD_FORM,Пожалуйста, заполните форму загрузки датапака перед отправкой файла.
translation.errors.DATAPACK_ALREADY_EXISTS,Такой датапак уже существует. Пожалуйста, загрузите датапак с уникальным названием.
translation.errors.NO_DATAPACKS_SELECTED,Датапаки не выбраны. Выберите хотя бы один датапак для генерации.
translation.errors.NO_COLUMNS_SELECTED,Колонки не выбраны. Выберите хотя бы одну колонку для генерации.
translation.errors.IS_BAD_RANGE,Возраст основания должен быть больше, чем возраст верха.
translation.errors.INVALID_MAPPACK_INFO,Получена неверная информация о маппаке с сервера. Попробуйте позже.
translation.errors.UNABLE_TO_LOGIN_SERVER,Не удалось войти из-за ошибки сервера. Попробуйте позже.
translation.errors.UNABLE_TO_LOGIN_GOOGLE_CREDENTIAL,Не удалось войти через учётные данные Google. Попробуйте ещё раз.
translation.errors.UNABLE_TO_LOGIN_USERNAME_OR_PASSWORD,Неверное имя пользователя или пароль. Попробуйте ещё раз.
translation.errors.UNABLE_TO_LOGIN_EXISTING_USER,Пользователь с таким email уже существует. Войдите или зарегистрируйтесь с другим email.
translation.errors.UNABLE_TO_LOGOUT,Не удалось выйти из системы. Попробуйте позже.
translation.errors.UNABLE_TO_SIGNUP_SERVER,Не удалось зарегистрироваться из-за ошибки сервера. Попробуйте позже.
translation.errors.UNABLE_TO_SIGNUP_USERNAME_OR_EMAIL,Email или имя пользователя уже заняты. Попробуйте снова с другими данными.
translation.errors.INVALID_FORM,Некорректная форма. Пожалуйста, убедитесь, что все поля заполнены правильно.
translation.errors.UNABLE_TO_VERIFY_ACCOUNT,Ваш email не подтверждён. Пожалуйста, подтвердите его. Если письмо не пришло, отправьте повторно.
translation.errors.ALREADY_VERIFIED_ACCOUNT,Аккаунт уже подтверждён. Пожалуйста, войдите.
translation.errors.UNABLE_TO_VERIFY_ACCOUNT_SERVER,Не удалось подтвердить аккаунт из-за ошибки сервера. Попробуйте позже.
translation.errors.TOKEN_EXPIRED_OR_INVALID,Ваш токен недействителен или срок его действия истёк. Запросите новое письмо для подтверждения.
translation.errors.UNABLE_TO_SEND_EMAIL,Не удалось отправить письмо. Попробуйте позже.
translation.errors.UNABLE_TO_RESET_PASSWORD,Не удалось сбросить пароль. Попробуйте позже.
translation.errors.UNABLE_TO_RESET_EMAIL,Не удалось сбросить адрес эл. почты. Попробуйте позже.
translation.errors.UNABLE_TO_LOGIN_ACCOUNT_LOCKED,Ваш аккаунт был заблокирован. Проверьте почту для получения информации или свяжитесь с поддержкой.
translation.errors.UNABLE_TO_RECOVER_ACCOUNT,Не удалось восстановить аккаунт. Свяжитесь с поддержкой для получения информации.
translation.errors.NOT_LOGGED_IN,Пожалуйста, войдите, чтобы получить доступ к этой функции.
translation.errors.USER_DATAPACK_FILE_NOT_FOUND_FOR_DOWNLOAD,Запрошенный датапак не найден на сервере. Попробуйте позже или свяжитесь с нашей поддержкой.
translation.errors.INCORRECT_ENCRYPTION_HEADER,Не удалось зашифровать файл, попробуйте позже.
translation.errors.TOO_MANY_REQUESTS,Вы сделали слишком много запросов. Попробуйте позже.
translation.errors.RECAPTCHA_FAILED,Проверка Recaptcha не пройдена. Попробуйте ещё раз.
translation.errors.COOKIE_REJECTED,Необходимо принять cookies для входа.
translation.errors.UNRECOGNIZED_IMAGE_FILE,Нераспознанное расширение изображения. Пожалуйста, загрузите допустимый файл изображения.
translation.errors.UPLOAD_PROFILE_PICTURE_FAILED,Не удалось загрузить фото профиля. Попробуйте позже.
translation.errors.UNABLE_TO_CHANGE_USERNAME,Не удалось изменить имя пользователя. Попробуйте позже.
translation.errors.UNABLE_TO_DELETE_PROFILE,Не удалось удалить профиль. Попробуйте позже.
translation.errors.INCORRECT_PASSWORD,Неверный пароль. Попробуйте ещё раз.
translation.errors.USERNAME_TAKEN,Имя пользователя уже занято. Попробуйте другое.
translation.errors.UNABLE_TO_READ_FILE_OR_EMPTY_FILE,Не удалось прочитать файл или файл пуст. Попробуйте ещё раз.
translation.errors.FETCH_USERS_FAILED,Не удалось получить список пользователей для отображения администратору. Попробуйте позже.
translation.errors.ADMIN_ADD_USER_FAILED,Не удалось добавить пользователя. Попробуйте позже.
translation.errors.SERVER_TIMEOUT,Время ожидания сервера истекло. Попробуйте позже.
translation.errors.SERVER_BUSY,Сервер перегружен. Попробуйте позже.
translation.errors.ADMIN_DELETE_USER_FAILED,Не удалось удалить пользователя. Попробуйте позже.
translation.errors.UNABLE_TO_FETCH_DATAPACKS,Не удалось загрузить список датапаков. Попробуйте позже.
translation.errors.UNABLE_TO_FETCH_USER_DATAPACKS,Не удалось загрузить пользовательские датапаки. Попробуйте позже.
translation.errors.CANNOT_DELETE_ROOT_USER,Нельзя удалить root-пользователя.
translation.errors.ADMIN_DELETE_USER_DATAPACK_FAILED,Не удалось удалить пользовательский датапак. Попробуйте позже.
translation.errors.ADMIN_MODIFY_USER_FAILED,Не удалось изменить пользователя. Попробуйте позже.
translation.errors.ADMIN_DELETE_SERVER_DATAPACK_FAILED,Не удалось удалить серверный датапак. Попробуйте позже.
translation.errors.ADMIN_CANNOT_DELETE_ROOT_DATAPACK,Нельзя удалить корневой датапак. Обратитесь к администратору сервера.
translation.errors.INVALID_SERVER_DATAPACK_REQUEST,Некорректный запрос к серверному датапаку. Попробуйте позже.
translation.errors.SERVER_FILE_METADATA_ERROR,Ошибка метаданных файла на сервере. Попробуйте позже.
translation.errors.USER_DELETE_DATAPACK_FAILED,Не удалось удалить пользовательский датапак. Попробуйте позже.
translation.errors.UNABLE_TO_PROCESS_DATAPACK_CONFIG,Ошибка обработки конфигурации датапака. Попробуйте позже.
translation.errors.INVALID_SETTINGS,Некорректные настройки. Попробуйте снова.
translation.errors.INTERNAL_ERROR,Внутренняя ошибка при генерации диаграммы. Попробуйте позже.
translation.errors.ADMIN_ADD_USERS_TO_WORKSHOP_FAILED,Не удалось добавить пользователей в воркшоп. Попробуйте позже.
translation.errors.ADMIN_EMAIL_INVALID,Некорректный адрес эл. почты. Исправьте его и попробуйте снова.
translation.errors.ADMIN_WORKSHOP_FIELDS_EMPTY,Необходимо указать хотя бы одно поле для добавления пользователей в воркшоп.
translation.errors.UNRECOGNIZED_EXCEL_FILE,Нераспознанный файл Excel. Пожалуйста, загрузите допустимый файл.
translation.errors.SERVER_DATAPACK_ALREADY_EXISTS,Такой серверный датапак уже существует. Загрузите уникальный датапак (с другим названием).
translation.errors.ADMIN_WORKSHOP_START_AFTER_END,Дата начала должна быть раньше даты окончания.
translation.errors.ADMIN_CREATE_WORKSHOP_FAILED,Не удалось создать воркшоп. Попробуйте позже.
translation.errors.ADMIN_WORKSHOP_ALREADY_EXISTS,Воркшоп с таким названием и датами уже существует. Попробуйте снова.
translation.errors.FETCH_WORKSHOPS_FAILED,Не удалось загрузить список воркшопов. Попробуйте позже.
translation.errors.ADMIN_DELETE_WORKSHOP_FAILED,Не удалось удалить воркшоп. Попробуйте позже.
translation.errors.ADMIN_WORKSHOP_NOT_FOUND,Воркшоп не найден на сервере, вероятно он завершён или удалён.
translation.errors.ADMIN_WORKSHOP_EDIT_FAILED,Не удалось изменить воркшоп. Попробуйте позже.
translation.errors.USER_EDIT_DATAPACK_FAILED,Не удалось изменить пользовательский датапак. Попробуйте позже.
translation.errors.USER_FETCH_DATAPACK_FAILED,Не удалось загрузить пользовательский датапак. Попробуйте позже.
translation.errors.USER_REPLACE_DATAPACK_FILE_FAILED,Не удалось заменить файл пользовательского датапака. Попробуйте позже.
translation.errors.USER_REPLACE_DATAPACK_PROFILE_IMAGE_FAILED,Не удалось заменить изображение профиля датапака. Попробуйте позже.
translation.errors.DATAPACK_TITLE_LEADING_TRAILING_WHITESPACE,Название датапака не должно начинаться или заканчиваться пробелами.
translation.errors.ADMIN_FETCH_PRIVATE_DATAPACKS_FAILED,Не удалось загрузить приватные датапаки. Попробуйте позже.
translation.errors.ADMIN_PRIORITY_BATCH_UPDATE_FAILED,Не удалось обновить приоритеты датапаков. Обратитесь к администратору сервера.
translation.errors.ADMIN_ADD_OFFICIAL_DATAPACK_TO_WORKSHOP_FAILED,Не удалось добавить официальный датапак в воркшоп. Попробуйте позже.
translation.errors.ADMIN_SERVER_DATAPACK_ALREADY_EXISTS,Такой серверный датапак уже есть в воркшопе. Выберите другой.
translation.errors.ADMIN_WORKSHOP_ENDED,Воркшоп завершён. Вы больше не можете редактировать или добавлять датапаки.
translation.errors.WORKSHOP_FETCH_DATAPACK_FAILED,Не удалось загрузить датапаки воркшопа. Попробуйте позже.
translation.errors.METADATA_NOT_FOUND,Метаданные не найдены. Попробуйте позже.
translation.errors.INVALID_CROSSPLOT_CONVERSION,Неверное преобразование кроссплота. Пожалуйста, выберите допустимую диаграмму для оси Y.
translation.errors.INVALID_CROSSPLOT_UNITS,Выберите другую единицу для оси Y. Эта единица не может быть преобразована.
translation.errors.CROSSPLOT_CONVERSION_FAILED,Ошибка преобразования кроссплота. Попробуйте позже.
translation.errors.NO_MODELS,Для преобразования требуется минимум 2 модели. Добавьте модель, нажав на диаграмму в основном окне.
translation.errors.CROSSPLOT_SETTINGS_MISMATCH,Несоответствие настроек кроссплота. Сгенерируйте кроссплот с последними изменениями.
translation.errors.ADMIN_ADD_FILES_TO_WORKSHOP_FAILED,Не удалось добавить файлы в воркшоп.
translation.errors.ADMIN_ADD_COVER_TO_WORKSHOP_FAILED,Не удалось добавить обложку к воркшопу.
translation.errors.INVALID_FILE_FORMAT,Недопустимый формат файла.
translation.errors.WORKSHOP_FILE_NOT_FOUND_FOR_DOWNLOAD,Запрошенный файл воркшопа не найден на сервере. Попробуйте позже или свяжитесь с поддержкой.
translation.errors.WORKSHOP_FILE_DOWNLOAD_NOT_AUTHORIZED,Пожалуйста, зарегистрируйтесь на воркшоп, чтобы скачать файл.
translation.errors.INVALID_DATAPACK_HASH,Указан неверный хэш датапака из трактата.
translation.errors.USER_FETCH_HISTORY_FAILED,Не удалось загрузить историю пользователя. Попробуйте позже.
translation.errors.USER_DELETE_HISTORY_FAILED,Не удалось удалить историю пользователя. Попробуйте позже.
translation.errors.USER_FETCH_HISTORY_METADATA_FAILED,Не удалось загрузить метаданные истории пользователя. Попробуйте позже.
translation.errors.USER_FETCH_HISTORY_FAILED_DATAPACKS_MISSING,Эта запись диаграммы не может быть загружена из-за отсутствующих файлов и была удалена из вашей истории.
translation.errors.title,Ошибка
translation.errors.USER_WORKSHOP_FILE_NOT_FOUND_FOR_DOWNLOAD,Запрошенный файл воркшопа не найден на сервере. Попробуйте позже или свяжитесь с нашей поддержкой.
translation.errors.LOGIN_TO_GENERATE_CUSTOM_CONVERTED_DATAPACK,Пожалуйста, войдите, чтобы загрузить и дополнительно настроить этот датапак.
translation.errors.DATAPACK_COMMENT_FETCH_FAILED,Ошибка при загрузке комментариев к датапаку.
translation.errors.DATAPACK_COMMENT_CREATION_FAILED,Ошибка при создании комментария к датапаку.
translation.errors.DATAPACK_COMMENT_DELETE_FAILED,Ошибка при удалении комментария к датапаку.
translation.errors.DATAPACK_COMMENT_REPORT_FAILED,Ошибка при отправке жалобы на комментарий к датапаку.
translation.errors.DATAPACK_COMMENT_NOT_FOUND,Комментарий к датапаку не найден.
translation.errors.USER_SUBMIT_BUG_REPORT_FAILED,Ошибка при отправке отчёта об ошибке.
translation.errors.INVALID_BUG_REPORT_FILE,Прикреплённые файлы должны быть одного из следующих типов: .png, .jpg, .jpeg, .gif, .svg, .txt, .log, .json или .csv.
translation.errors.UNRECOGNIZED_PDF_FILE,Нераспознанный файл PDF. Пожалуйста, загрузите допустимый PDF.
translation.button.generate,Сгенерировать
translation.button.generate-chart,Сгенерировать диаграмму
translation.button.remove-cache,Удалить кэш
translation.button.confirm-selection,Подтвердить выбор
translation.button.generate-cross-plot,Сгенерировать кроссплот
translation.yes,Да
translation.no,Нет
translation.languageNames.en-US,English
translation.languageNames.en,English
translation.languageNames.zh,中文
translation.tours.quit,Выйти из тура
translation.tours.finish,Завершить тур
translation.tours.next,Далее
translation.tours.back,Назад
translation.tours.qsg.step1,На странице «Пресеты» предлагаются преднастроенные параметры, позволяющие быстро генерировать определённые типы диаграмм без ручной настройки всех опций. Каждый пресет включает выбранные датапаки, визуальные стили и настройки, что позволяет создавать диаграммы одним кликом.
translation.tours.qsg.step2,На странице «Datapacks» вы можете выбрать датапаки, необходимые для построения диаграмм. Мы предлагаем девять официальных датапаков, каждый из которых содержит подобранные наборы данных для определённых тематических исследований. Для подробных инструкций см. тур «Datapacks» в разделе «Tours».
translation.tours.qsg.step3,На странице «Диаграмма» вы можете просматривать созданные диаграммы и исследовать детальные визуализации геологических событий. Также доступна возможность загрузить и сохранить диаграммы для дальнейшего анализа.
translation.tours.qsg.step4,На странице «Настройки» вы можете настроить все аспекты диаграмм: масштаб и временной диапазон, выбор отображаемых строк, фоновый цвет и стиль шрифта и т. д. Адаптируйте диаграммы под свои задачи для оптимального визуального анализа. Для подробных инструкций см. тур «Settings» в разделе «Tours».
translation.tours.qsg.step5,На странице «Помощь» вы найдёте подробные инструкции и информацию по работе с сайтом.
translation.tours.qsg.step6,На странице «Воркшопы» доступны обучающие и экспериментальные материалы с подробными руководствами. Здесь вы можете просмотреть зарегистрированные воркшопы и углубиться в практическое изучение.
translation.tours.qsg.step7,Страница «О нас» содержит информацию о нашей команде разработчиков.
translation.tours.qsg.step8,Нажмите здесь, чтобы войти и разблокировать указанные функции, такие как доступ к зарегистрированным воркшопам. После входа вы также сможете загружать датапаки и пользоваться всеми возможностями.
translation.tours.datapack.step1,Переключайтесь между разными видами отображения датапаков: строки, карточки или компактный режим.
translation.tours.datapack.step2,Добавьте датапак, установив флажок
translation.tours.datapack.step3,Нажмите значок «Отменить выбор», чтобы снять выбор со всех датапаков
translation.tours.datapack.step4,Не забудьте подтвердить выбор
translation.tours.settings.step1,В настройках времени можно задать «Верх интервала» и «Основание интервала» для данных. Эти поля позволяют определить начальные и конечные возраста или стадии, которые можно указать вручную или выбрать из списка. Также можно регулировать вертикальный масштаб — чем он больше, тем сильнее интервалы будут растянуты, что упрощает детальное изучение.
translation.tours.settings.step2,В настройках предпочтений можно настраивать параметры отображения. Например, затемнять колонки без данных для выбранного интервала, добавлять всплывающие подсказки, включать фильтрацию и легенду. Здесь же можно загружать настройки из файла или сохранять текущие для резервного копирования, обмена или быстрого применения.
translation.tours.settings.step3,В настройках колонок можно детально настроить внешний вид и структуру диаграмм. В разделе «Настройка колонок» изменяются заголовки и позиции строк, включаются или отключаются элементы (например, заголовок диаграммы или маркеры Ma). В разделе «Параметры шрифта» можно выбрать стиль, размер и тип шрифта для заголовков и подписей. Учтите, что расширенные настройки зависят от конкретного датапака.
translation.tours.settings.step4,В настройках поиска можно быстро находить нужные колонки по ключевым словам и сразу добавлять их в диаграмму. Это особенно полезно при большом числе данных или при необходимости оперативных изменений.
translation.tours.settings.step5,В настройках шрифта можно управлять внешним видом текста: шрифты, размеры и стили для заголовков, возрастных меток и т. д. Каждая настройка наследуется по умолчанию, обеспечивая единый стиль, но может быть изменена в отдельных колонках. Экспериментируйте с параметрами для повышения читаемости и наглядности.
translation.tours.settings.step6,В настройках «Точки на карте» можно управлять географическими данными. Вы можете просматривать конкретные локации прямо на интерактивной карте, переключать слои и видеть подробные описания (широта, долгота, заметки). Учтите, что не все датапаки содержат точки на карте.
translation.tours.settings.step7,В настройках «Datapacks» можно выбрать датапаки для генерации диаграмм. Мы предлагаем девять официальных датапаков с подобранными наборами данных для тематических исследований. Эта страница похожа на основную «Datapacks», и выборы можно делать как там, так и здесь. Для подробных инструкций см. тур «Datapacks» в разделе «Tours».

translation.languageNames.ru,Русский
